         353753155 function calls (351787173 primitive calls) in 56032.253 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 42593.901 42593.901 42617.337 42617.337 {built-in method exec_}
    30000 13208.960    0.440 13386.685    0.446 bmm.py:33(step)
103446944/101496666   67.708    0.000   95.453    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   600000   44.768    0.000  133.985    0.000 bmm.py:64(<listcomp>)
100084702   32.916    0.000  107.558    0.000 <__array_function__ internals>:2(dot)
        1   22.367   22.367   22.375   22.375 {getSaveFileName}
100084702    9.093    0.000    9.093    0.000 multiarray.py:736(dot)
   630000    3.477    0.000    4.399    0.000 utils.py:1007(_median_nancheck)
   630000    3.435    0.000   22.861    0.000 function_base.py:3663(_median)
   600000    3.048    0.000    3.048    0.000 bmm.py:27(_alpha)
   633015    3.016    0.000    3.016    0.000 {built-in method numpy.array}
    30000    2.873    0.000   12.451    0.000 main.py:249(<listcomp>)
  4410010    2.859    0.000    2.859    0.000 {method 'standard_t' of 'numpy.random.mtrand.RandomState' objects}
   630000    2.409    0.000    2.409    0.000 {method 'partition' of 'numpy.ndarray' objects}
   722287    2.384    0.000    2.384    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  5040000    2.019    0.000    7.620    0.000 main.py:151(get_reward)
   630001    1.950    0.000    6.309    0.000 _methods.py:162(_mean)
   600000    1.699    0.000    1.699    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
       10    1.699    0.170    6.386    0.639 main.py:56(get_features)
       10    1.612    0.161    2.873    0.287 main.py:81(get_true_theta)
   600000    1.309    0.000    2.468    0.000 linalg.py:2363(norm)
   630002    1.262    0.000    1.544    0.000 _methods.py:66(_count_reduce_items)
   630000    1.238    0.000   24.278    0.000 function_base.py:3513(_ureduce)
  1260030    0.985    0.000    2.473    0.000 numerictypes.py:358(issubdtype)
  6330789    0.897    0.000    0.897    0.000 {built-in method builtins.issubclass}
  2520060    0.891    0.000    1.398    0.000 numerictypes.py:284(issubclass_)
    30000    0.885    0.000 13388.826    0.446 sup_bmm.py:34(choose_arm)
    30004    0.794    0.000    1.071    0.000 linalg.py:476(inv)
   630001    0.790    0.000    7.099    0.000 fromnumeric.py:3322(mean)
   630007    0.671    0.000    0.671    0.000 {method 'take' of 'numpy.ndarray' objects}
   630000    0.567    0.000    3.531    0.000 fromnumeric.py:667(partition)
